Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Number_of_Customers,Engagement_Score2,Engagement_Score3
CID1000,Alpha Innovations,Search,Women 35-44,33,Website,12.22,102.01,55.98,Houston,Spanish,4502,25417,61.44,Foodies,8/4/2024,280,58.44,61.44
CID1001,Innovate Industries,Search,Men 18-24,36,YouTube,14.06,348.09,57.34,Los Angeles,French,6749,37525,78.42,Tech Enthusiasts,2/8/2024,205,75.42,78.42
CID1002,NexGen Systems,Email,Men 18-24,99,Instagram,5.36,910.17,13.86,Los Angeles,English,4160,27447,97.43,Tech Enthusiasts,7/2/2024,895,94.43,97.43
CID1003,Innovate Industries,Display,Men 18-24,23,Email,2.66,495.87,6.44,Chicago,English,6706,49141,54.33,Outdoor Adventurers,8/22/2024,477,51.33,48.33
CID1004,Innovate Industries,Social Media,Women 25-34,62,Website,17.25,488.11,10.33,New York,French,8828,39059,70.54,Foodies,2/22/2024,735,74.54,70.54
CID1005,NexGen Systems,Search,Men 25-34,41,Instagram,12.53,848.62,41.14,Chicago,German,8504,20978,89.7,Outdoor Adventurers,9/27/2023,125,93.7,89.7
CID1006,Innovate Industries,Email,Men 25-34,91,Website,2.68,400.39,15.06,Houston,German,3063,20057,61.79,Fashionistas,12/21/2023,235,58.79,61.79
CID1007,Alpha Innovations,Search,Men 25-34,22,Google Ads,11.02,864.77,43.43,Houston,French,6605,32090,71.03,Outdoor Adventurers,3/28/2024,897,75.03,71.03
CID1008,TechCorp,Influencer,Men 25-34,56,Email,14.3,368.31,37.62,Chicago,English,7418,17698,90.45,Tech Enthusiasts,3/18/2024,402,94.45,84.45
CID1009,Alpha Innovations,Influencer,All Ages,16,Email,10.01,534.03,38.58,Chicago,Spanish,6338,23939,56.18,Outdoor Adventurers,2/16/2024,944,53.18,50.18
CID1010,NexGen Systems,Search,Women 25-34,43,Instagram,10.31,700.05,47.05,New York,English,4437,35088,99.69,Fashionistas,9/2/2024,966,103.69,99.69
CID1011,Innovate Industries,Influencer,Men 25-34,72,Email,12.41,271.54,22.22,Miami,English,4352,18059,52.39,Tech Enthusiasts,7/12/2024,561,49.39,46.39
CID1012,Innovate Industries,Social Media,Women 25-34,11,YouTube,10.55,420.55,28.12,New York,English,7245,25648,81.65,Fashionistas,7/30/2024,533,85.65,81.65
CID1013,Innovate Industries,Social Media,Women 25-34,35,Email,10.67,637.36,25.83,Chicago,French,8851,10784,95,Tech Enthusiasts,1/7/2024,853,99,89
CID1014,DataTech Solutions,Display,Men 25-34,48,Email,4.63,364.18,14.88,Chicago,German,6446,30398,58.3,Fashionistas,3/15/2024,335,55.3,52.3
CID1015,Innovate Industries,Display,Women 35-44,61,Facebook,3.61,869.27,5.77,New York,Spanish,3980,39603,77.94,Fashionistas,1/29/2024,952,74.94,77.94
CID1016,NexGen Systems,Display,Women 35-44,32,Email,3.5,168.34,6.78,Chicago,German,3169,45148,58.12,Tech Enthusiasts,4/25/2024,518,55.12,52.12
CID1017,TechCorp,Search,All Ages,53,Facebook,13.11,942.85,43.11,New York,German,11998,29612,77.11,Health & Wellness,8/23/2024,783,74.11,77.11
CID1018,Alpha Innovations,Display,All Ages,47,Instagram,2.3,778.31,15.34,New York,French,2044,45712,96.11,Foodies,8/29/2024,542,93.11,96.11
CID1019,NexGen Systems,Display,Men 25-34,42,Google Ads,6.61,241.74,6.12,Houston,French,7043,43607,71.89,Fashionistas,12/5/2023,547,75.89,71.89
CID1020,Alpha Innovations,Social Media,Men 25-34,95,Facebook,11.49,636.88,23.79,Los Angeles,Spanish,9158,16072,78.52,Outdoor Adventurers,3/26/2024,418,82.52,78.52
CID1021,TechCorp,Influencer,Men 18-24,74,Facebook,12.27,751.15,27.77,New York,French,7801,28046,71.39,Tech Enthusiasts,11/5/2023,845,68.39,71.39
CID1022,DataTech Solutions,Social Media,Men 25-34,54,Email,10.86,662.33,20.35,Miami,Spanish,5566,21429,51.72,Fashionistas,12/30/2023,955,48.72,45.72
CID1023,NexGen Systems,Display,All Ages,95,Facebook,4.47,307.67,5.14,Houston,Spanish,4633,31684,70.8,Outdoor Adventurers,11/5/2023,975,67.8,70.8
CID1024,TechCorp,Social Media,All Ages,82,Email,8.5,174.95,16.39,Miami,French,7875,42117,57.44,Fashionistas,7/1/2024,536,54.44,51.44
CID1025,DataTech Solutions,Search,All Ages,54,Facebook,16.05,604.73,45.35,Houston,French,9228,34430,70.66,Outdoor Adventurers,10/18/2023,283,67.66,72.66
CID1026,NexGen Systems,Email,Men 18-24,47,Email,6.96,530.04,17.88,Miami,English,1393,29612,54.93,Foodies,5/9/2024,947,51.93,48.93
CID1027,DataTech Solutions,Influencer,Men 18-24,60,Website,14.45,589.24,23.4,New York,German,8886,25100,58.41,Health & Wellness,7/18/2024,307,55.41,58.41
CID1028,NexGen Systems,Email,Men 25-34,83,Google Ads,6.86,674.23,15.51,Los Angeles,English,3383,25922,74.17,Health & Wellness,12/18/2023,975,78.17,74.17
CID1029,TechCorp,Influencer,Men 25-34,83,Email,8.54,486.73,24.01,Los Angeles,Spanish,9316,19129,50.94,Tech Enthusiasts,8/30/2024,812,47.94,44.94
CID1030,TechCorp,Display,All Ages,42,YouTube,5.44,596.46,16.43,New York,English,2634,45004,79.86,Tech Enthusiasts,4/5/2024,218,76.86,79.86
CID1031,DataTech Solutions,Search,All Ages,67,Instagram,15.77,993.86,41.76,Los Angeles,English,4385,29488,88.92,Health & Wellness,6/11/2024,838,85.92,88.92
CID1032,Innovate Industries,Social Media,Women 35-44,51,Google Ads,17.2,281.03,27.63,Chicago,Spanish,9553,20658,68.93,Fashionistas,7/22/2024,516,65.93,68.93
CID1033,Alpha Innovations,Display,Men 25-34,42,Website,3.53,841.66,17.88,Los Angeles,English,7235,47932,63.93,Health & Wellness,5/2/2024,578,60.93,63.93
CID1034,Innovate Industries,Influencer,Men 18-24,10,Google Ads,5.49,789.15,20.69,New York,Spanish,9285,20537,67.96,Fashionistas,8/27/2024,846,64.96,67.96
CID1035,Innovate Industries,Display,Women 35-44,80,Email,6.22,777.22,11.41,Miami,English,7856,33965,56.3,Outdoor Adventurers,11/8/2023,374,53.3,50.3
CID1036,TechCorp,Influencer,Women 35-44,47,Facebook,14.46,343.39,32.7,Los Angeles,English,6733,26340,74.81,Outdoor Adventurers,1/10/2024,454,71.81,74.81
CID1037,DataTech Solutions,Search,Women 25-34,20,YouTube,10.8,223.1,52.04,Miami,English,8291,22757,78.34,Health & Wellness,10/20/2023,348,82.34,78.34
CID1038,Alpha Innovations,Influencer,Women 25-34,16,Email,8.63,680.29,25.4,Miami,German,7616,29547,58.82,Tech Enthusiasts,6/21/2024,858,55.82,52.82
CID1039,NexGen Systems,Social Media,All Ages,44,Email,15.14,889.28,17.27,Houston,Spanish,5914,41025,50.61,Outdoor Adventurers,10/10/2023,765,47.61,44.61
CID1040,Innovate Industries,Social Media,All Ages,77,YouTube,17.8,950.61,11.79,Houston,Spanish,6313,29217,82.76,Foodies,8/26/2024,195,79.76,82.76
CID1041,TechCorp,Display,Men 18-24,96,YouTube,2.9,118.58,5.14,Los Angeles,German,3598,30467,78.74,Tech Enthusiasts,8/7/2024,930,75.74,78.74
CID1042,DataTech Solutions,Email,Men 25-34,57,Facebook,4.29,913,16.26,Chicago,Spanish,3446,36216,78.16,Fashionistas,6/3/2024,740,82.16,78.16
CID1043,TechCorp,Influencer,Men 18-24,28,Website,11.93,567.91,20.96,New York,English,6533,21528,59.34,Health & Wellness,1/18/2024,770,56.34,59.34
CID1044,Alpha Innovations,Influencer,Women 35-44,97,Instagram,12.95,199.59,21.6,New York,Spanish,9430,18444,95.48,Foodies,3/13/2024,938,92.48,95.48
CID1045,DataTech Solutions,Search,Men 18-24,12,Email,18.59,471.65,49.55,Los Angeles,French,5231,28359,51.29,Foodies,4/16/2024,577,48.29,45.29
CID1046,NexGen Systems,Display,Women 35-44,70,Instagram,3.36,951.3,6.16,Los Angeles,Spanish,3730,33424,94.51,Fashionistas,10/21/2023,257,91.51,94.51
CID1047,Alpha Innovations,Email,Women 25-34,11,YouTube,5.6,907.05,11.63,Chicago,French,4815,36148,78.9,Fashionistas,1/27/2024,781,82.9,78.9
CID1048,TechCorp,Search,Men 18-24,29,Instagram,19.08,509.87,50.45,Miami,Spanish,5498,22077,89.38,Health & Wellness,2/27/2024,603,86.38,89.38
CID1049,TechCorp,Influencer,Women 25-34,80,Email,10.86,269.06,39.11,Los Angeles,English,9818,22264,80.5,Health & Wellness,1/12/2024,102,84.5,74.5
CID1050,Alpha Innovations,Email,Women 35-44,25,YouTube,9.24,631.77,19.68,New York,English,2533,22446,82.89,Outdoor Adventurers,5/6/2024,461,79.89,82.89
CID1051,NexGen Systems,Search,All Ages,68,Website,12.07,386.53,53.98,Miami,Spanish,5182,30801,57.07,Fashionistas,5/17/2024,366,54.07,57.07
CID1052,Alpha Innovations,Email,Men 18-24,47,Email,3.6,919.68,22.02,Miami,English,4912,28581,53.63,Fashionistas,8/31/2024,217,50.63,47.63
CID1053,Alpha Innovations,Social Media,Men 18-24,90,Instagram,8.72,328.04,11.93,New York,Spanish,10312,45241,91.01,Fashionistas,11/30/2023,779,88.01,91.01
CID1054,Innovate Industries,Search,All Ages,10,Facebook,10.85,262.03,47.34,New York,German,5258,31103,79.1,Outdoor Adventurers,4/13/2024,395,76.1,81.1
CID1055,NexGen Systems,Search,Women 35-44,59,Instagram,17.04,873.38,55.64,Chicago,German,6908,27613,89.3,Health & Wellness,3/15/2024,206,86.3,89.3
CID1056,DataTech Solutions,Email,Women 25-34,80,Google Ads,1.1,213.99,22.84,Houston,German,3034,27388,72.98,Outdoor Adventurers,3/1/2024,989,76.98,72.98
CID1057,Alpha Innovations,Search,Men 25-34,32,Email,16.85,263,57.19,New York,English,6787,35689,50,Foodies,8/13/2024,158,47,44
CID1058,TechCorp,Search,Men 18-24,51,Facebook,18.13,585.15,47.86,Los Angeles,Spanish,6892,25013,79.32,Health & Wellness,4/1/2024,137,76.32,79.32
CID1059,Innovate Industries,Influencer,Women 25-34,66,YouTube,13.13,322.21,29.47,New York,French,5461,16126,79.19,Foodies,12/22/2023,327,83.19,79.19
CID1060,Alpha Innovations,Social Media,Women 25-34,74,Instagram,16.1,945.72,10.79,Houston,Spanish,5114,14173,96.36,Foodies,10/6/2023,404,100.36,96.36
